Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2020-06-27 06:15:57,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:57,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:58,enp0s31f6,11621.00,7.00,16206.77,0.93,0.00,0.00,1.00,13.28
2020-06-27 06:15:58,lo,1924.00,1924.00,61653.56,61653.56,0.00,0.00,0.00,0.00
2020-06-27 06:15:58,wlp3s0,0.00,2.00,0.00,0.50,0.00,0.00,0.00,0.00
2020-06-27 06:15:59,enp0s31f6,11630.00,5.00,16219.42,0.97,0.00,0.00,1.00,13.29
2020-06-27 06:15:59,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:59,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:16:00,enp0s31f6,11620.00,3.00,16206.68,0.28,0.00,0.00,0.00,13.28
2020-06-27 06:16:00,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:00,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:16:01,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:16:01,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:01,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:16:02,enp0s31f6,11622.00,7.00,16206.83,0.95,0.00,0.00,1.00,13.28
2020-06-27 06:16:02,lo,1922.00,1922.00,61653.38,61653.38,0.00,0.00,0.00,0.00
2020-06-27 06:16:02,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:16:03,enp0s31f6,11620.00,2.00,16206.68,0.18,0.00,0.00,0.00,13.28
2020-06-27 06:16:03,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:03,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:16:04,enp0s31f6,11621.00,4.00,16206.77,0.38,0.00,0.00,1.00,13.28
2020-06-27 06:16:04,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:04,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:16:05,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:16:05,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:05,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:16:06,enp0s31f6,11623.00,5.00,16211.13,0.60,0.00,0.00,0.00,13.28
2020-06-27 06:16:06,lo,1924.00,1924.00,61653.56,61653.56,0.00,0.00,0.00,0.00
2020-06-27 06:16:06,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:16:07,enp0s31f6,11619.00,6.00,16202.41,1.07,0.00,0.00,2.00,13.27
2020-06-27 06:16:07,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:07,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:16:08,enp0s31f6,11620.00,3.00,16206.68,0.28,0.00,0.00,0.00,13.28
2020-06-27 06:16:08,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:08,wlp3s0,5.00,4.00,0.62,3.51,0.00,0.00,0.00,0.00
2020-06-27 06:16:09,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:16:09,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:09,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:16:10,enp0s31f6,11620.00,5.00,16206.68,0.79,0.00,0.00,0.00,13.28
2020-06-27 06:16:10,lo,1922.00,1922.00,61653.38,61653.38,0.00,0.00,0.00,0.00
2020-06-27 06:16:10,wlp3s0,2.00,2.00,0.15,0.21,0.00,0.00,0.00,0.00
2020-06-27 06:16:11,enp0s31f6,11623.00,4.00,16208.34,0.37,0.00,0.00,2.00,13.28
2020-06-27 06:16:11,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:11,wlp3s0,1.00,2.00,0.13,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:16:12,enp0s31f6,11620.00,4.00,16205.29,0.38,0.00,0.00,1.00,13.28
2020-06-27 06:16:12,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:12,wlp3s0,1.00,2.00,0.09,0.23,0.00,0.00,0.00,0.00
2020-06-27 06:16:13,enp0s31f6,11625.00,2.00,16214.09,0.18,0.00,0.00,0.00,13.28
2020-06-27 06:16:13,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:13,wlp3s0,4.00,3.00,0.32,0.30,0.00,0.00,0.00,0.00
2020-06-27 06:16:14,enp0s31f6,11626.00,7.00,16212.10,0.79,0.00,0.00,2.00,13.28
2020-06-27 06:16:14,lo,1924.00,1924.00,61653.56,61653.56,0.00,0.00,0.00,0.00
2020-06-27 06:16:14,wlp3s0,2.00,2.00,0.18,0.23,0.00,0.00,0.00,0.00
2020-06-27 06:16:15,enp0s31f6,11621.00,5.00,16206.77,0.97,0.00,0.00,1.00,13.28
2020-06-27 06:16:15,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:15,wlp3s0,2.00,3.00,0.22,0.50,0.00,0.00,0.00,0.00
2020-06-27 06:16:16,enp0s31f6,11620.00,3.00,16206.68,0.28,0.00,0.00,0.00,13.28
2020-06-27 06:16:16,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:16,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:16:17,enp0s31f6,11622.00,4.00,16206.86,0.37,0.00,0.00,2.00,13.28
2020-06-27 06:16:17,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:16:17,wlp3s0,1.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:16:18,enp0s31f6,11620.00,5.00,16206.68,0.79,0.00,0.00,0.00,13.28
2020-06-27 06:16:18,lo,1922.00,1922.00,61653.38,61653.38,0.00,0.00,0.00,0.00
