Time,CPU,%user,%nice,%system,%iowait,%steal,%idle
2020-06-27 06:10:56,6,1.03,0.00,6.19,0.00,0.00,92.78
2020-06-27 06:10:56,7,1.02,0.00,2.04,0.00,0.00,96.94
2020-06-27 06:10:57,0,10.31,0.00,8.25,0.00,0.00,81.44
2020-06-27 06:10:57,1,5.05,0.00,3.03,0.00,0.00,91.92
2020-06-27 06:10:57,2,7.14,0.00,7.14,0.00,0.00,85.71
2020-06-27 06:10:57,3,2.02,0.00,2.02,0.00,0.00,95.96
2020-06-27 06:10:57,4,1.01,0.00,7.07,0.00,0.00,91.92
2020-06-27 06:10:57,5,2.02,0.00,0.00,0.00,0.00,97.98
2020-06-27 06:10:57,6,0.00,0.00,6.19,0.00,0.00,93.81
2020-06-27 06:10:57,7,1.03,0.00,2.06,0.00,0.00,96.91
2020-06-27 06:10:58,0,6.00,0.00,5.00,0.00,0.00,89.00
2020-06-27 06:10:58,1,7.14,0.00,5.10,0.00,0.00,87.76
2020-06-27 06:10:58,2,5.05,0.00,4.04,0.00,0.00,90.91
2020-06-27 06:10:58,3,3.03,0.00,1.01,0.00,0.00,95.96
2020-06-27 06:10:58,4,1.02,0.00,7.14,0.00,0.00,91.84
2020-06-27 06:10:58,5,7.14,0.00,3.06,0.00,0.00,89.80
2020-06-27 06:10:58,6,4.17,0.00,9.38,0.00,0.00,86.46
2020-06-27 06:10:58,7,5.10,0.00,5.10,0.00,0.00,89.80
2020-06-27 06:10:59,0,2.06,0.00,1.03,0.00,0.00,96.91
2020-06-27 06:10:59,1,3.06,0.00,2.04,0.00,0.00,94.90
2020-06-27 06:10:59,2,10.20,0.00,8.16,0.00,0.00,81.63
2020-06-27 06:10:59,3,9.18,0.00,6.12,0.00,0.00,84.69
2020-06-27 06:10:59,4,4.00,0.00,8.00,0.00,0.00,88.00
2020-06-27 06:10:59,5,6.12,0.00,4.08,0.00,0.00,89.80
2020-06-27 06:10:59,6,5.15,0.00,9.28,0.00,0.00,85.57
2020-06-27 06:10:59,7,4.04,0.00,2.02,0.00,0.00,93.94
2020-06-27 06:11:00,0,1.03,0.00,0.00,0.00,0.00,98.97
2020-06-27 06:11:00,1,4.95,0.00,3.96,0.00,0.00,91.09
2020-06-27 06:11:00,2,2.04,0.00,0.00,0.00,0.00,97.96
2020-06-27 06:11:00,3,10.31,0.00,10.31,0.00,0.00,79.38
2020-06-27 06:11:00,4,3.03,0.00,7.07,0.00,0.00,89.90
2020-06-27 06:11:00,5,8.08,0.00,4.04,0.00,0.00,87.88
2020-06-27 06:11:00,6,2.06,0.00,6.19,0.00,0.00,91.75
2020-06-27 06:11:00,7,5.15,0.00,3.09,0.00,0.00,91.75
2020-06-27 06:11:01,0,2.06,0.00,0.00,0.00,0.00,97.94
2020-06-27 06:11:01,1,2.06,0.00,0.00,0.00,0.00,97.94
2020-06-27 06:11:01,2,12.24,0.00,15.31,0.00,0.00,72.45
2020-06-27 06:11:01,3,5.15,0.00,4.12,0.00,0.00,90.72
2020-06-27 06:11:01,4,1.02,0.00,7.14,0.00,0.00,91.84
2020-06-27 06:11:01,5,3.03,0.00,1.01,1.01,0.00,94.95
2020-06-27 06:11:01,6,3.12,0.00,6.25,0.00,0.00,90.62
2020-06-27 06:11:01,7,4.12,0.00,3.09,0.00,0.00,92.78
2020-06-27 06:11:02,0,4.04,0.00,2.02,0.00,0.00,93.94
2020-06-27 06:11:02,1,1.00,0.00,2.00,0.00,0.00,97.00
2020-06-27 06:11:02,2,5.10,0.00,2.04,0.00,0.00,92.86
2020-06-27 06:11:02,3,7.00,0.00,5.00,0.00,0.00,88.00
2020-06-27 06:11:02,4,2.04,0.00,7.14,0.00,0.00,90.82
2020-06-27 06:11:02,5,9.18,0.00,7.14,0.00,0.00,83.67
2020-06-27 06:11:02,6,2.11,0.00,7.37,0.00,0.00,90.53
2020-06-27 06:11:02,7,5.15,0.00,5.15,0.00,0.00,89.69
2020-06-27 06:11:03,0,2.06,0.00,0.00,0.00,0.00,97.94
2020-06-27 06:11:03,1,5.15,0.00,3.09,0.00,0.00,91.75
2020-06-27 06:11:03,2,6.00,0.00,2.00,0.00,0.00,92.00
2020-06-27 06:11:03,3,17.35,0.00,14.29,0.00,0.00,68.37
2020-06-27 06:11:03,4,6.06,0.00,6.06,0.00,0.00,87.88
2020-06-27 06:11:03,5,6.00,0.00,2.00,0.00,0.00,92.00
2020-06-27 06:11:03,6,3.12,0.00,5.21,0.00,0.00,91.67
2020-06-27 06:11:03,7,4.00,0.00,1.00,0.00,0.00,95.00
2020-06-27 06:11:04,0,12.24,0.00,8.16,0.00,0.00,79.59
2020-06-27 06:11:04,1,3.03,0.00,3.03,0.00,0.00,93.94
2020-06-27 06:11:04,2,6.06,0.00,4.04,0.00,0.00,89.90
2020-06-27 06:11:04,3,4.04,0.00,1.01,0.00,0.00,94.95
2020-06-27 06:11:04,4,1.00,0.00,8.00,0.00,0.00,91.00
2020-06-27 06:11:04,5,7.22,0.00,2.06,0.00,0.00,90.72
2020-06-27 06:11:04,6,0.00,0.00,5.26,0.00,0.00,94.74
2020-06-27 06:11:04,7,4.12,0.00,4.12,0.00,0.00,91.75
2020-06-27 06:11:05,0,1.02,0.00,0.00,0.00,0.00,98.98
2020-06-27 06:11:05,1,6.06,0.00,5.05,0.00,0.00,88.89
2020-06-27 06:11:05,2,10.10,0.00,8.08,0.00,0.00,81.82
2020-06-27 06:11:05,3,6.06,0.00,4.04,0.00,0.00,89.90
2020-06-27 06:11:05,4,2.02,0.00,6.06,0.00,0.00,91.92
2020-06-27 06:11:05,5,4.04,0.00,1.01,1.01,0.00,93.94
2020-06-27 06:11:05,6,1.05,0.00,5.26,0.00,0.00,93.68
2020-06-27 06:11:05,7,6.06,0.00,6.06,0.00,0.00,87.88
2020-06-27 06:11:06,0,4.00,0.00,3.00,1.00,0.00,92.00
2020-06-27 06:11:06,1,5.05,0.00,5.05,0.00,0.00,89.90
2020-06-27 06:11:06,2,10.31,0.00,8.25,0.00,0.00,81.44
2020-06-27 06:11:06,3,3.06,0.00,2.04,0.00,0.00,94.90
2020-06-27 06:11:06,4,5.05,0.00,3.03,0.00,0.00,91.92
2020-06-27 06:11:06,5,4.00,0.00,1.00,0.00,0.00,95.00
2020-06-27 06:11:06,6,1.06,0.00,4.26,0.00,0.00,94.68
2020-06-27 06:11:06,7,5.05,0.00,3.03,0.00,0.00,91.92
2020-06-27 06:11:07,0,2.06,0.00,3.09,0.00,0.00,94.85
2020-06-27 06:11:07,1,2.02,0.00,2.02,0.00,0.00,95.96
2020-06-27 06:11:07,2,13.13,0.00,8.08,0.00,0.00,78.79
2020-06-27 06:11:07,3,5.00,0.00,1.00,0.00,0.00,94.00
2020-06-27 06:11:07,4,4.04,0.00,1.01,0.00,0.00,94.95
2020-06-27 06:11:07,5,2.02,0.00,0.00,0.00,0.00,97.98
2020-06-27 06:11:07,6,1.02,0.00,7.14,0.00,0.00,91.84
2020-06-27 06:11:07,7,6.12,0.00,4.08,0.00,0.00,89.80
2020-06-27 06:11:08,0,2.06,0.00,0.00,0.00,0.00,97.94
2020-06-27 06:11:08,1,1.02,0.00,2.04,0.00,0.00,96.94
2020-06-27 06:11:08,2,8.16,0.00,6.12,0.00,0.00,85.71
2020-06-27 06:11:08,3,4.08,0.00,3.06,0.00,0.00,92.86
2020-06-27 06:11:08,4,8.08,0.00,5.05,1.01,0.00,85.86
2020-06-27 06:11:08,5,7.00,0.00,3.00,0.00,0.00,90.00
2020-06-27 06:11:08,6,2.11,0.00,6.32,0.00,0.00,91.58
2020-06-27 06:11:08,7,5.05,0.00,3.03,0.00,0.00,91.92
2020-06-27 06:11:09,0,3.06,0.00,3.06,0.00,0.00,93.88
2020-06-27 06:11:09,1,2.04,0.00,1.02,0.00,0.00,96.94
2020-06-27 06:11:09,2,2.02,0.00,3.03,0.00,0.00,94.95
2020-06-27 06:11:09,3,10.10,0.00,7.07,0.00,0.00,82.83
2020-06-27 06:11:09,4,4.08,0.00,1.02,0.00,0.00,94.90
2020-06-27 06:11:09,5,6.00,0.00,1.00,0.00,0.00,93.00
2020-06-27 06:11:09,6,1.02,0.00,5.10,0.00,0.00,93.88
2020-06-27 06:11:09,7,9.09,0.00,8.08,0.00,0.00,82.83
2020-06-27 06:11:10,0,3.03,0.00,1.01,0.00,0.00,95.96
2020-06-27 06:11:10,1,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:11:10,2,8.08,0.00,10.10,0.00,0.00,81.82
